external_id,entity_id,place_id,scheme,identifier,uri,match_type,source_id
ext-pleiades-sanctuary-pergamon-asklepieion,sanctuary-pergamon-asklepieion,,pleiades,550459,https://pleiades.stoa.org/places/550459,exact,src-pleiades-550459
ext-pleiades-sanctuary-priene-athena-polias-sanctuary,sanctuary-priene-athena-polias-sanctuary,,pleiades,298577312,https://pleiades.stoa.org/places/298577312,exact,src-pleiades-298577312
ext-pleiades-sanctuary-rhodes-zeus-atabyrios-sanctuary,sanctuary-rhodes-zeus-atabyrios-sanctuary,,pleiades,590099,https://pleiades.stoa.org/places/590099,exact,src-pleiades-590099
ext-pleiades-sanctuary-samos-heraion,sanctuary-samos-heraion,,pleiades,599641,https://pleiades.stoa.org/places/599641,exact,src-pleiades-599641
ext-pleiades-sanctuary-samothrace-great-gods-sanctuary,sanctuary-samothrace-great-gods-sanctuary,,pleiades,501511,https://pleiades.stoa.org/places/501511,exact,src-pleiades-501511
ext-pleiades-sanctuary-sardis-artemis-sanctuary,sanctuary-sardis-artemis-sanctuary,,pleiades,66376536,https://pleiades.stoa.org/places/66376536,exact,src-pleiades-66376536
ext-pleiades-sanctuary-segesta-doric-temple-sanctuary,sanctuary-segesta-doric-temple-sanctuary,,pleiades,963441586,https://pleiades.stoa.org/places/963441586,exact,src-pleiades-963441586
ext-pleiades-sanctuary-selinous-demeter-malophoros-sanctuary,sanctuary-selinous-demeter-malophoros-sanctuary,,pleiades,502577471,https://pleiades.stoa.org/places/502577471,exact,src-pleiades-502577471
ext-pleiades-sanctuary-siwa-amun-zeus-oracle,sanctuary-siwa-amun-zeus-oracle,,pleiades,716520,https://pleiades.stoa.org/places/716520,exact,src-pleiades-716520
ext-pleiades-sanctuary-smintheion-apollo-sanctuary,sanctuary-smintheion-apollo-sanctuary,,pleiades,550892,https://pleiades.stoa.org/places/550892,exact,src-pleiades-550892
ext-pleiades-sanctuary-sounion-poseidon-sanctuary,sanctuary-sounion-poseidon-sanctuary,,pleiades,580086,https://pleiades.stoa.org/places/580086,exact,src-pleiades-580086
ext-pleiades-sanctuary-syracuse-apollo-sanctuary,sanctuary-syracuse-apollo-sanctuary,,pleiades,418729933,https://pleiades.stoa.org/places/418729933,exact,src-pleiades-418729933
ext-pleiades-sanctuary-tegea-athena-alea-sanctuary,sanctuary-tegea-athena-alea-sanctuary,,pleiades,372843530,https://pleiades.stoa.org/places/372843530,exact,src-pleiades-372843530
ext-pleiades-sanctuary-thermon-apollo-sanctuary,sanctuary-thermon-apollo-sanctuary,,pleiades,728329645,https://pleiades.stoa.org/places/728329645,exact,src-pleiades-728329645
ext-pleiades-sanctuary-tinos-poseidon-amphitrite-sanctuary,sanctuary-tinos-poseidon-amphitrite-sanctuary,,pleiades,590006,https://pleiades.stoa.org/places/590006,exact,src-pleiades-590006
