place_id,entity_id,latitude,longitude,geometry_wkt,geometry_geojson,geometry_role,location_certainty,location_precision,modern_country_el,modern_country_en,country_iso3,country_iso2,modern_locality,coordinate_source_text,spatial_note_el,spatial_note_en,source_id,review_state
place-kingdom-greco-bactrian-diodotid,kingdom-greco-bactrian-diodotid,36.7679,66.9011,POINT (66.9011 36.7679),"{""coordinates"":[66.9011,36.7679],""type"":""Point""}",representative_center,high,unknown,Αφγανιστάν,Afghanistan,AFG,AF,,www.metmuseum.org,"Το σημείο αποδίδει τα Βάκτρα ως συμβατική πρωτεύουσα, όχι την ακριβή εδαφική έκταση της φάσης· τα πολύγωνα θα φέρουν χρονολογική και χωρική αβεβαιότητα.",The point marks Bactra as a representative centre; it does not represent the polity's territorial extent.,src-metmuseum-50fe20dc493f,reviewed
place-kingdom-greco-bactrian-eucratid,kingdom-greco-bactrian-eucratid,36.7679,66.9011,POINT (66.9011 36.7679),"{""coordinates"":[66.9011,36.7679],""type"":""Point""}",representative_center,high,unknown,Αφγανιστάν,Afghanistan,AFG,AF,,www.iranicaonline.org,"Το σημείο αποδίδει τα Βάκτρα ως κύριο κέντρο, όχι τα αβέβαια και γρήγορα μεταβαλλόμενα όρια· τα μελλοντικά πολύγωνα πρέπει να δηλώνουν βαθμό βεβαιότητας.",The point marks Bactra as a representative centre; it does not represent the polity's territorial extent.,src-iranicaonline-12958b1a4563,reviewed
place-kingdom-greco-bactrian-euthydemid,kingdom-greco-bactrian-euthydemid,36.7679,66.9011,POINT (66.9011 36.7679),"{""coordinates"":[66.9011,36.7679],""type"":""Point""}",representative_center,high,unknown,Αφγανιστάν,Afghanistan,AFG,AF,,www.iranicaonline.org,"Το σημείο αποδίδει τα Βάκτρα ως κύριο κέντρο, όχι μία αμετάβλητη επικράτεια· οι ανατολικές και ινδικές επεκτάσεις θα αποδοθούν με ξεχωριστά πολύγωνα.",The point marks Bactra as a representative centre; it does not represent the polity's territorial extent.,src-iranicaonline-5997875976eb,reviewed
place-kingdom-indo-greek-early,kingdom-indo-greek-early,33.7457,72.8152,POINT (72.8152 33.7457),"{""coordinates"":[72.8152,33.7457],""type"":""Point""}",representative_center,high,unknown,Πακιστάν,Pakistan,PAK,PK,,www.iranicaonline.org,"Το σημείο αποδίδει την Τάξιλα ως κύριο αστικό και νομισματικό κέντρο, όχι βέβαιη μοναδική πρωτεύουσα ή ενιαία επικράτεια· τα πολύγωνα θα είναι υποθετικά.",The point marks Taxila as a representative centre; it does not represent the polity's territorial extent.,src-iranicaonline-2d20b536f2f7,needs_review
place-kingdom-indo-greek-late,kingdom-indo-greek-late,33.7457,72.8152,POINT (72.8152 33.7457),"{""coordinates"":[72.8152,33.7457],""type"":""Point""}",representative_center,high,unknown,Πακιστάν,Pakistan,PAK,PK,,www.iranicaonline.org,Το σημείο αποδίδει την Τάξιλα ως ένα από τα σημαντικότερα κέντρα και όχι κοινή πρωτεύουσα· απαιτούνται στο μέλλον επιμέρους εγγραφές και επικαλυπτόμενα πολύγωνα.,The point marks Taxila as a representative centre; it does not represent the polity's territorial extent.,src-iranicaonline-2d20b536f2f7,needs_review
place-kingdom-indo-greek-menandrid,kingdom-indo-greek-menandrid,32.4945,74.5229,POINT (74.5229 32.4945),"{""coordinates"":[74.5229,32.4945],""type"":""Point""}",representative_center,high,unknown,Πακιστάν,Pakistan,PAK,PK,,www.iranicaonline.org,"Το σημείο αποδίδει τη Σάγαλα, που ταυτίζεται συνήθως με τη Σιαλκότ, ως παραδοσιακή βασιλική έδρα· η ταύτιση και τα εδαφικά όρια δεν είναι απολύτως βέβαια.",The point marks Sagala as a representative centre; it does not represent the polity's territorial extent.,src-iranicaonline-2d20b536f2f7,reviewed
place-kingdom-iolcos-palatial,kingdom-iolcos-palatial,39.3619,22.8919,POINT (22.8919 39.3619),"{""coordinates"":[22.8919,39.3619],""type"":""Point""}",representative_center,high,unknown,Ελλάδα,Greece,GRC,GR,,odysseus.culture.gr,Το σημείο αποδίδει το ανάκτορο στο Διμήνι ως πιθανό κέντρο της Ιωλκού· δεν είναι εδαφικό πολύγωνο και η ταύτιση έχει βαθμό αβεβαιότητας.,The point marks Dimini as a representative centre; it does not represent the polity's territorial extent.,src-odysseus-589898851f92,reviewed
place-kingdom-knossos-mycenaean,kingdom-knossos-mycenaean,35.2987,25.1614,POINT (25.1614 35.2987),"{""coordinates"":[25.1614,35.2987],""type"":""Point""}",representative_center,high,unknown,Ελλάδα,Greece,GRC,GR,,odysseus.culture.gr,"Το σημείο αποδίδει το ανάκτορο της Κνωσού, όχι την έκταση της διοίκησής του στην Κρήτη· τα εδαφικά πολύγωνα θα είναι ξεχωριστά και θα φέρουν αβεβαιότητα.",The point marks Palace of Knossos as a representative centre; it does not represent the polity's territorial extent.,src-odysseus-9e3ae0cba911,reviewed
place-kingdom-lysimachid,kingdom-lysimachid,40.5482,26.7508,POINT (26.7508 40.5482),"{""coordinates"":[26.7508,40.5482],""type"":""Point""}",representative_center,high,exact,Τουρκία,Turkey,TUR,TR,,curated point linked to Pleiades place,"Το σημείο αποδίδει κατά προσέγγιση τη Λυσιμάχεια, ιδρυμένη ως βασιλική πρωτεύουσα· η θέση έχει χωρική αβεβαιότητα και τα εδάφη θα αποδοθούν σε ξεχωριστό GeoJSON.",The point marks Lysimachia as a representative centre; it does not represent the polity's territorial extent.,src-pleiades-501458,reviewed
place-kingdom-macedon-antigonid,kingdom-macedon-antigonid,40.7612,22.526,POINT (22.526 40.7612),"{""coordinates"":[22.526,40.7612],""type"":""Point""}",representative_center,high,unknown,Ελλάδα,Greece,GRC,GR,,www.metmuseum.org,"Το σημείο αποδίδει την Πέλλα ως πρωτεύουσα, όχι την κυμαινόμενη μακεδονική επικράτεια· τα πολύγωνα θα αποθηκευθούν χωριστά ανά φάση.",The point marks Pella as a representative centre; it does not represent the polity's territorial extent.,src-metmuseum-50fe20dc493f,reviewed
