source_id,url,title,publisher,source_class,language,license,accessed_on,http_status,url_status,citation,notes
src-pleiades-462270,https://pleiades.stoa.org/places/462270,Pleiades place 462270,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462270 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462279,https://pleiades.stoa.org/places/462279,Pleiades place 462279,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462279 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462307,https://pleiades.stoa.org/places/462307,Pleiades place 462307,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462307 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462386,https://pleiades.stoa.org/places/462386,Pleiades place 462386,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462386 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462489,https://pleiades.stoa.org/places/462489,Pleiades place 462489,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462489 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462503,https://pleiades.stoa.org/places/462503,Pleiades place 462503,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462503 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462538,https://pleiades.stoa.org/places/462538,Pleiades place 462538,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462538 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-464482220,https://pleiades.stoa.org/places/464482220,Pleiades place 464482220,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/464482220 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-481728,https://pleiades.stoa.org/places/481728,Pleiades place 481728,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/481728 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-481818,https://pleiades.stoa.org/places/481818,Pleiades place 481818,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/481818 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-491512,https://pleiades.stoa.org/places/491512,Pleiades place 491512,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/491512 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-491572,https://pleiades.stoa.org/places/491572,Pleiades place 491572,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/491572 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-491678,https://pleiades.stoa.org/places/491678,Pleiades place 491678,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/491678 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-491687,https://pleiades.stoa.org/places/491687,Pleiades place 491687,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/491687 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-491703,https://pleiades.stoa.org/places/491703,Pleiades place 491703,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/491703 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
